Wavelength,NEUT500,DBG6008,BYY8512,ABB6002,DPB4012,BRP6012
515,0.222954,0.52368515,0.42206009,0.35357024,0.15020367,0.22118379
516,0.22287641,0.52001126,0.43925213,0.35299697,0.14696628,0.21861368
517,0.22266698,0.51452375,0.45717554,0.3525192,0.14387253,0.21649721
518,0.2224925,0.51225249,0.4750273,0.35226607,0.14119787,0.21423063
519,0.2224398,0.50678487,0.49370373,0.35184578,0.13841382,0.21263914
520,0.22245093,0.50123792,0.5109585,0.35181074,0.13560361,0.21095742
521,0.22241736,0.49686351,0.52976173,0.35107665,0.13337323,0.20936385
522,0.22243286,0.49285554,0.54721751,0.35187427,0.1305953,0.20765766
523,0.2220496,0.48797584,0.56519923,0.35063099,0.12841341,0.20619359
524,0.22229833,0.48181938,0.58188854,0.34986511,0.12620346,0.20570369
525,0.22227004,0.47821147,0.59683504,0.35001145,0.12418474,0.20451104
526,0.22247103,0.47356466,0.61242634,0.34941392,0.12252909,0.20322636
527,0.22179902,0.46807223,0.62605976,0.34911179,0.12075552,0.20283417
528,0.22202734,0.46243314,0.63978437,0.34821552,0.11934685,0.20218508
529,0.22191139,0.4575393,0.65186837,0.3481374,0.11785606,0.20175394
530,0.22182006,0.4525288,0.66298577,0.34756841,0.11669214,0.20052347
531,0.22194036,0.44667918,0.67326199,0.34694791,0.11530577,0.20013067
532,0.22207453,0.44071919,0.68385041,0.34706574,0.11418197,0.1998501
533,0.2218089,0.43628782,0.69274216,0.34540036,0.1138522,0.19915095
534,0.22187981,0.43088059,0.70177423,0.3458939,0.1130532,0.19806004
535,0.22198958,0.42505272,0.70867756,0.34493504,0.1122481,0.19763508
536,0.22205795,0.42062967,0.71653096,0.34455323,0.11191846,0.19723164
537,0.22169145,0.41478221,0.7211069,0.34369064,0.11104335,0.19655977
538,0.22148606,0.40890016,0.72612051,0.34404945,0.11082379,0.19586213
539,0.22189504,0.40304654,0.73200822,0.34291696,0.11036557,0.19473846
540,0.22153004,0.39776502,0.73717694,0.34104912,0.110282,0.19419475
541,0.22170975,0.39149126,0.73995607,0.34191737,0.11000049,0.19310022
542,0.22174336,0.38567779,0.74522795,0.34151513,0.10965822,0.19147028
543,0.22104312,0.38041774,0.74770027,0.34047811,0.10965468,0.19060061
544,0.22101039,0.375027,0.75029389,0.34029573,0.10936443,0.18936057
545,0.22117206,0.36960371,0.7535848,0.33958611,0.10920137,0.18778465
546,0.22208473,0.36348635,0.75740686,0.33911975,0.10932009,0.18619315
547,0.22086466,0.35760717,0.75915357,0.33796407,0.10887609,0.18467022
548,0.22156111,0.35174794,0.76107276,0.33795415,0.1094459,0.18331565
549,0.22049624,0.34541728,0.76394402,0.33657247,0.10931943,0.18157874
550,0.22095281,0.34005504,0.76690961,0.3366938,0.10917444,0.17992513
551,0.22094308,0.33424148,0.76929826,0.33607005,0.10861641,0.17889484
552,0.22115275,0.32801475,0.77088214,0.33577424,0.10826575,0.17664456
553,0.22087814,0.32270174,0.7721854,0.33437792,0.10778921,0.17570193
554,0.22057955,0.31557371,0.77608087,0.33476754,0.10698786,0.1743136
555,0.22062279,0.31095501,0.77713779,0.33304684,0.1065636,0.17223912
556,0.22132809,0.30524399,0.77955429,0.33286152,0.10591006,0.170666
557,0.22051534,0.29991148,0.77976279,0.33201568,0.10491758,0.16879431
558,0.22090728,0.29482898,0.78193435,0.33045509,0.10438367,0.1676276
559,0.22091097,0.28919926,0.78367116,0.32960043,0.10371877,0.16602726
560,0.22027345,0.28353552,0.78735992,0.32821517,0.10325584,0.16461852
561,0.22098295,0.27900391,0.78671213,0.32896645,0.10281292,0.16374586
562,0.22184537,0.27448461,0.79019447,0.3285417,0.1018107,0.16223151
563,0.22184217,0.26994929,0.79049372,0.32748413,0.10140678,0.16081782
564,0.22220389,0.26545688,0.79329495,0.32740401,0.10089056,0.15992521
565,0.22174489,0.26146137,0.79369433,0.32533547,0.10051544,0.15941419
566,0.2221654,0.25627701,0.79583118,0.32449855,0.10036764,0.15882304
567,0.22237547,0.25283093,0.79571183,0.323054,0.10046378,0.15864133
568,0.22140354,0.24825102,0.79605297,0.32298916,0.10069802,0.15904631
569,0.22163635,0.24422017,0.79942366,0.32170808,0.10088639,0.15954919
570,0.22231867,0.24045414,0.80051404,0.32086207,0.10105568,0.16082471
571,0.22231843,0.23772286,0.80057099,0.3191304,0.10147003,0.16289802
