Wavelength,X,Y,Z
431,0.165422916684661,0.007051819544510104,0.8091199831830989
432,0.1710050128768421,0.007618038280211616,0.838379226281209
433,0.17599152918150754,0.008205238881994642,0.8649567053411271
434,0.18039884278362342,0.008814004646857975,0.8889001497615044
435,0.1842433308681557,0.009444924480425394,0.9102574011134915
436,0.18752510560760424,0.01009965292706847,0.9290153352146158
437,0.19025022431695643,0.010776681266665327,0.9452192697547831
438,0.1924438697224101,0.011471836682224618,0.9590044847687131
439,0.19413111237766326,0.012180946356754988,0.9705064285498753
440,0.19533719109516365,0.012899837473265086,0.9798604372192393
441,0.19607747350737945,0.01362593567288525,0.9871430124216461
442,0.19638454572549302,0.014363823202230976,0.9925153460392618
443,0.19630916580564928,0.015120050935288695,0.9962396973765432
444,0.19590197963149317,0.015901152920169862,0.9985783257379464
445,0.19521380134541938,0.01671370246536085,0.999793490427928
446,0.19426779456863,0.01756107035447968,1
447,0.1930838699198337,0.01844322293577642,0.9992886020064743
448,0.19170773769268573,0.01936160162587308,0.9978855483793821
449,0.19018516426709126,0.020317642232766688,0.9960172593095041
450,0.1885619721092053,0.021312774955829273,0.9939100428151215
451,0.18687809462894514,0.022348502906557727,0.9917501052458478
452,0.18510767606511433,0.023426104851449397,0.989383321587003
453,0.18319771491157272,0.02454670812412695,0.9865256149829257
454,0.1810950974896804,0.025711434449588053,0.9828926281467051
455,0.1787468783795471,0.0269213999442054,0.9782002842226799
456,0.17612490228373115,0.028179795915597373,0.972288513053682
457,0.1732414520909571,0.029486246585889754,0.965164774110946
458,0.17010421161745903,0.030836534269091283,0.9567960325932902
459,0.16672080859322114,0.0322264412792107,0.9471493658720329
460,0.1630988146619777,0.03365174993025675,0.9361916830597428
461,0.1592681798811667,0.035111097326357255,0.9240370635886832
462,0.1552026558858425,0.036611712985122224,0.9105113035667154
463,0.1508259092899133,0.038162251014908735,0.8951490553785536
464,0.1460613262760379,0.03977137113269883,0.8774850835814121
465,0.1408325734581245,0.04144773866409956,0.8570539844737556
466,0.13508233068879186,0.04319538621047756,0.8335041533550627
467,0.12891491839282385,0.045018413676699336,0.8073736256204681
468,0.1224964079561262,0.046925570517746755,0.7795315137981709
469,0.1159928146783549,0.04892560618860168,0.7508469304163697
470,0.10957009777291597,0.05102727014424598,0.7221889880032633
471,0.10331850001587241,0.053235694276544024,0.6940237632953857
472,0.0972127825947765,0.05555109732187035,0.6662061050780378
473,0.09124565429714339,0.05797489826234702,0.6386883961250683
474,0.0854099921692378,0.060508426342096286,0.6114231313828254
475,0.07969856108482473,0.06315311736911516,0.5843626375389085
476,0.07413401988885725,0.06591929121338226,0.5576081502743571
477,0.06874469213752663,0.0688034705274048,0.5313315739450654
478,0.06353181172833032,0.07178636164122276,0.5055912382509121
479,0.05849678081751542,0.07484867088487614,0.4804456411505264
480,0.05364088938882926,0.0779711045884049,0.45595322451628695
481,0.048963043760399096,0.08114356722682996,0.43215425827561027
482,0.04448090549231332,0.08439258759634637,0.40911823329210245
483,0.040223802084636176,0.08775361220688063,0.386946665678053
484,0.03622105542880687,0.09126225582710897,0.3657411837182514
485,0.03250198741626463,0.0949540210532078,0.3456034717837368
486,0.02908751260959113,0.09884814546888722,0.32660627374060847
487,0.02595756895720294,0.10295085464788435,0.3087078053327031
488,0.02307998538616673,0.10727813317141607,0.29183784657516604
489,0.02042259082354918,0.11184607779319901,0.27592600922439336
490,0.017953208587791973,0.11667061700820015,0.2609020172092806
491,0.015657710552549393,0.12177440966137254,0.24673721045613714
492,0.01354168851693485,0.12716687824269665,0.23342177387123336
493,0.01160256251345369,0.13284426497343024,0.22091375493965626
494,0.009837752574611258,0.13880292424733096,0.20917136940524234
495,0.008244678732912902,0.14503904219940658,0.1981527208393285
496,0.006821091929738287,0.15153657816219043,0.18780918246326547
497,0.005563733553969163,0.1583280621606151,0.1781030643171314
498,0.00446852613523898,0.16548276071328696,0.16900890324347903
499,0.003531384351106206,0.17306982816631278,0.1605012360848612
500,0.002748226244304301,0.18115858712454883,0.15255459968383062
501,0.002118474687321961,0.1897970474178956,0.14516080544790425
502,0.0016519195350763968,0.19892996409021765,0.1382435199909903
503,0.0013600242561813496,0.20847180561044218,0.1316746984046042
504,0.0012542528801130607,0.21833676001624708,0.12532657621151067
505,0.0013460699972102697,0.22843929577655955,0.11907110850322512
506,0.0016408144575994121,0.2387198492940031,0.11282826020116343
507,0.0021517826285404307,0.24919659251354007,0.10663095393400734
508,0.0029023736934848305,0.25990054113135613,0.10052080569917063
509,0.003915986835884117,0.27086265475738713,0.09453943149406703
510,0.005216021239189796,0.28211383691531905,0.08872844731611029
511,0.006814193321002584,0.2936503859126596,0.08308521711155589
512,0.008713492478441286,0.305396360967066,0.0776097969666537
513,0.010924210538359574,0.317274306967449,0.07234800934755875
514,0.013456644936236103,0.32920682488896885,0.0673456206341762
515,0.016321098716174525,0.3411165717930359,0.06264834112016131
516,0.01952634376765665,0.3529763458484565,0.05827630576922236
517,0.02306275569020244,0.3647326968590915,0.054217164389134924
518,0.02691300944122279,0.37626874108018304,0.05046793319140521
519,0.031059785586753597,0.3874675947669734,0.04702569008241426
520,0.03548577030145574,0.39821237417470484,0.04388748492541819
521,0.04017739071285736,0.4084117708885666,0.041060177068777785
522,0.0451282529884717,0.4181025774884824,0.038519004433169364
523,0.05033177821118739,0.4273600617217963,0.03621368008694715
524,0.055781393072518067,0.4362594913358522,0.03409390588121538
525,0.06147052987260233,0.4448761340779942,0.0321093836670783
526,0.0673973882428189,0.45323881828066254,0.030232928439217256
527,0.07353720610384414,0.46130727401644067,0.02846188731801274
528,0.07984881614826332,0.4690531216428874,0.026782732299992788
529,0.08629105106866179,0.47644798151756157,0.02518193538168544
530,0.09282274355762486,0.4834634739980219,0.023645962950993745
531,0.09941686004270855,0.4900877087992932,0.02215815178307723
532,0.10608153303014603,0.49634222304133074,0.020715815346566472
533,0.1128283723736632,0.5022487781890894,0.019326401895446033
534,0.11966887575448625,0.5078291357075241,0.017997359683700472
535,0.12661465302634115,0.5131051131478397,0.016736136965314355
536,0.13366525549922875,0.5180882081912622,0.015542515003913137
537,0.14081395282316306,0.5227756726115474,0.014411047824633103
538,0.14806332496563876,0.5271673381499458,0.013341325997850102
539,0.15541595189415044,0.5312630926339572,0.01233294570256497
540,0.16287446966244265,0.5350628238910823,0.011385508726403532
541,0.17044117780676063,0.5385716357700603,0.010498252296367373
542,0.17811456199835757,0.541797324259625,0.009669471390460021
543,0.18589136923474014,0.5447436471385189,0.008897320771060301
544,0.1937683465134151,0.5474144182717336,0.008179960809172031
545,0.2017422408318892,0.5498135076105115,0.007515557484424007
546,0.20980963092891955,0.5519405225511033,0.006902663771569229
547,0.21797337720325016,0.5538058390497375,0.006338800658362836
548,0.22623981740111798,0.5554293116388728,0.0058205861439368355
549,0.23461523318250993,0.5568307948509682,0.005344630375348253
550,0.24310579403491325,0.5580301993047324,0.00490754630396661
551,0.25171245342457593,0.5590177099064358,0.004506642350659984
552,0.26042864926026166,0.5597959066235729,0.00414006262141972
553,0.26924989464197957,0.5603644529386447,0.0038056763996127353
554,0.2781717026697392,0.5607212736604051,0.003501352407743447
555,0.2871896986160493,0.5608624988376125,0.003224958807453773
556,0.29630135859966544,0.5607821272415291,0.0029745903488351618
557,0.3054970918718573,0.5604724750559208,0.0027481140718045335
558,0.31476130645515715,0.5599233345833089,0.0025430627422295027
559,0.3240784103720975,0.5591230959699673,0.0023569685651151826
560,0.3334327555589606,0.5580581863434244,0.0021873637454666887
561,0.3428108813157744,0.5567123967774635,0.0020321170057884374
562,0.35220807639754875,0.5551095078420356,0.0018904431385820565
563,0.3616218169230388,0.5532596711483694,0.0017618934538484758
564,0.37104963509724964,0.5511730943939438,0.001646019261588625
565,0.3804891192114363,0.5488600413624876,0.0015423713109409354
566,0.3899335950018626,0.5463270180589872,0.0014499417319949958
567,0.39936696571481195,0.5435717810334475,0.0013677192896654018
568,0.40877251764781897,0.5405911333696248,0.0012952558548155822
569,0.4181335370984183,0.5373819342375259,0.001232102737446467
570,0.42743331036414445,0.533941098893407,0.001177811247558986
571,0.43665568460503107,0.5302676738710203,0.0011316707723671123
572,0.44578787215610466,0.5263690064691002,0.0010926723202354365
573,0.4548182070773893,0.522254294832628,0.00105991795030332
574,0.46373502342890915,0.5179327371065844,0.0010325102825726224
575,0.47252665527068854,0.5134135314359505,0.0010095524979077024
576,0.48118216578399997,0.508705875965707,0.0009906329232344132
577,0.48967872786514083,0.5038099950408538,0.000974666850480003
